"","NMDS1","NMDS2","date","cage","herbivory","coral","treatment","is.neg","Samples"
"D1_Open_A1",-0.406565884539451,-0.0286434109925509,"Jul22","D1","Open","A1","Ambient",FALSE,"D1_Open_A1"
"B1_2x2_A5",-0.379256576486799,-0.0102641987203705,"Jul22","B1","2x2","A5","Enriched",FALSE,"B1_2x2_A5"
"D1_Open_A3",0.330237551655866,1.05420502061725,"Jul22","D1","Open","A3","Ambient",FALSE,"D1_Open_A3"
"B1_3x3_A6",-0.211201812297463,-0.0338666793942607,"Jul22","B1","3x3","A6","Enriched",FALSE,"B1_3x3_A6"
"D1_Open_A6",-0.0493713798998668,0.0178119658521781,"Jul22","D1","Open","A6","Ambient",FALSE,"D1_Open_A6"
"D1_3x3_A7",-0.138266701940979,-0.0242942321217435,"Jul22","D1","3x3","A7","Ambient",FALSE,"D1_3x3_A7"
"D1_3x3_A4",2.3184637159867,0.321787449259399,"Jul22","D1","3x3","A4","Ambient",FALSE,"D1_3x3_A4"
"C2_Open_A4",-0.156569235281119,0.0198754050524849,"Jul22","C2","Open","A4","Ambient",FALSE,"C2_Open_A4"
"C2_1x1_A3",-0.3138037393252,-0.0808442742023416,"Jul22","C2","1x1","A3","Ambient",FALSE,"C2_1x1_A3"
"C2_2x2_A2_1",0.408917262729046,2.0944420440992,"Jul22","C2","2x2","A2_1","Ambient",FALSE,"C2_2x2_A2_1"
"D1_1x1_A4",-0.401891739800667,-0.0364467333817578,"Jul22","D1","1x1","A4","Ambient",FALSE,"D1_1x1_A4"
"C2_Open_A1",-0.279904996396621,-0.034264747322931,"Jul22","C2","Open","A1","Ambient",FALSE,"C2_Open_A1"
"B1_3x3_A3_questionmark",-0.0750569514741665,0.71888255583299,"Jul22","B1","3x3","A3","Enriched",FALSE,"B1_3x3_A3_questionmark"
"B1_1x1_A3",-0.371931755677994,-0.0353824689619892,"Jul22","B1","1x1","A3","Enriched",FALSE,"B1_1x1_A3"
"C2_Open_A7",2.6558817756548,-0.437390634495631,"Jul22","C2","Open","A7","Ambient",FALSE,"C2_Open_A7"
"C2_Open_A2",-0.213262836551282,-0.617874215631446,"Jul22","C2","Open","A2","Ambient",FALSE,"C2_Open_A2"
"D1_Open_A2",0.0612930280273818,-1.50936069069392,"Jul22","D1","Open","A2","Ambient",FALSE,"D1_Open_A2"
"B1_3x3_A9",-0.404226575941415,-0.0317994766737641,"Jul22","B1","3x3","A9","Enriched",FALSE,"B1_3x3_A9"
"D1_1x1_A2",0.242691815983694,0.223078907570507,"Jul22","D1","1x1","A2","Ambient",FALSE,"D1_1x1_A2"
"B1_3x3_A13",-0.418080585119792,-0.0386013532664059,"Jul22","B1","3x3","A13","Enriched",FALSE,"B1_3x3_A13"
"B1_1x1_A2",0.640653057363163,0.151753233091993,"Jul22","B1","1x1","A2","Enriched",FALSE,"B1_1x1_A2"
"B1_2x2_A8",0.203398279700511,-1.83176951966664,"Jul22","B1","2x2","A8","Enriched",FALSE,"B1_2x2_A8"
"B1_1x1_A1",1.52730753486922,0.202856356721845,"Jul22","B1","1x1","A1","Enriched",FALSE,"B1_1x1_A1"
"B2_1x1_A4",-0.0776605075394575,0.035296785454078,"Jul22","B2","1x1","A4","Ambient",FALSE,"B2_1x1_A4"
"B2_1x1_A15",0.891722394591008,-0.606106478963551,"Jul22","B2","1x1","A15","Ambient",FALSE,"B2_1x1_A15"
"B2_1x1_A9",0.146467187737207,-0.832425728505981,"Jul22","B2","1x1","A9","Ambient",FALSE,"B2_1x1_A9"
"B2_1x1_A8",-0.35008067457756,-0.0234198411416585,"Jul22","B2","1x1","A8","Ambient",FALSE,"B2_1x1_A8"
"B2_1x1_A7",0.131742245061955,1.34330001631254,"Jul22","B2","1x1","A7","Ambient",FALSE,"B2_1x1_A7"
"B2_3x3_A6_1",-0.178822852004067,0.203311184001379,"Jul22","B2","3x3","A6_1","Ambient",FALSE,"B2_3x3_A6_1"
"B2_1x1_A2",-0.387665474793106,-0.0311847300632358,"Jul22","B2","1x1","A2","Ambient",FALSE,"B2_1x1_A2"
"B2_1x1_A3",1.50011544751672,1.75478852565338,"Jul22","B2","1x1","A3","Ambient",FALSE,"B2_1x1_A3"
"C2_3x3_A10",-0.310843980699374,-0.0181783521700886,"Jul22","C2","3x3","A10","Ambient",FALSE,"C2_3x3_A10"
"C2_3x3_A11",-0.322474000779273,-0.0294781373141517,"Jul22","C2","3x3","A11","Ambient",FALSE,"C2_3x3_A11"
"B2_Open_A1",-0.400340716540959,-0.0335709342797116,"Jul22","B2","Open","A1","Ambient",FALSE,"B2_Open_A1"
"C4_2x2_A2",-0.236489265861106,-0.249633002031389,"Jul22","C4","2x2","A2","Enriched",FALSE,"C4_2x2_A2"
"C2_3x3_A1",0.356216865088624,1.93702261584606,"Jul22","C2","3x3","A1","Ambient",FALSE,"C2_3x3_A1"
"C2_3x3_A5",0.135357497328605,-0.138373598636953,"Jul22","C2","3x3","A5","Ambient",FALSE,"C2_3x3_A5"
"B2_1x1_A13",-0.302701007528688,-0.039287752250238,"Jul22","B2","1x1","A13","Ambient",FALSE,"B2_1x1_A13"
"B2_Open_A4",2.20415083902415,1.19674581460388,"Jul22","B2","Open","A4","Ambient",FALSE,"B2_Open_A4"
"B1_3x3_A1",-0.363541855707584,-0.0209118993899362,"Jul22","B1","3x3","A1","Enriched",FALSE,"B1_3x3_A1"
"B1_Open_A5",-0.324589663010151,0.00309903713585173,"Jul22","B1","Open","A5","Enriched",FALSE,"B1_Open_A5"
"B2_Open_A7",-0.234352598558017,0.0173035671188905,"Jul22","B2","Open","A7","Ambient",FALSE,"B2_Open_A7"
"C2_3x3_A4",-0.269661185447064,0.0157642515111537,"Jul22","C2","3x3","A4","Ambient",FALSE,"C2_3x3_A4"
"B2_Open_A9",-0.21537290610956,0.0777730896598345,"Jul22","B2","Open","A9","Ambient",FALSE,"B2_Open_A9"
"B1_Open_A2",-0.404156701003376,-0.0322071026201799,"Jul22","B1","Open","A2","Enriched",FALSE,"B1_Open_A2"
"B2_3x3_A6_2",-0.418901389964063,-0.0396123509705283,"Jul22","B2","3x3","A6_2","Ambient",FALSE,"B2_3x3_A6_2"
"B1_Open_A6",-0.357544126490892,-0.00164627184096885,"Jul22","B1","Open","A6","Enriched",FALSE,"B1_Open_A6"
"C2_3x3_A3",-0.294234052496448,-0.0766022707548234,"Jul22","C2","3x3","A3","Ambient",FALSE,"C2_3x3_A3"
"C2_2x2_A2_2",-0.340276650470302,0.0306189288215119,"Jul22","C2","2x2","A2_2","Ambient",FALSE,"C2_2x2_A2_2"
"B2_Open_A2",2.37560837114999,-1.62162024498215,"Jul22","B2","Open","A2","Ambient",FALSE,"B2_Open_A2"
"B2_2x2_A2",-0.0275732370210999,0.405038583987139,"Jul22","B2","2x2","A2","Ambient",FALSE,"B2_2x2_A2"
"B2_1x1_A16",0.546948208572136,-0.0273226740306751,"Jul22","B2","1x1","A16","Ambient",FALSE,"B2_1x1_A16"
"B2_1x1_P17",1.68146564539802,0.612037166015927,"Jul22","B2","1x1","P17","Ambient",FALSE,"B2_1x1_P17"
"C2_2x2_A5",0.975769267934034,0.0829372519284203,"Jul22","C2","2x2","A5","Ambient",FALSE,"C2_2x2_A5"
"C2_3x3_A6",-0.414907844681706,-0.0454929394869706,"Jul22","C2","3x3","A6","Ambient",FALSE,"C2_3x3_A6"
"C2_3x3_A2",-0.255377986100075,-0.115605520409904,"Jul22","C2","3x3","A2","Ambient",FALSE,"C2_3x3_A2"
"B2_3x3_A2",-0.405567787700265,-0.0358041155694353,"Jul22","B2","3x3","A2","Ambient",FALSE,"B2_3x3_A2"
"C2_3x3_A9",0.407705466471826,1.77312271798411,"Jul22","C2","3x3","A9","Ambient",FALSE,"C2_3x3_A9"
"B2_2x2_A1",-0.129522880715129,0.414511217116364,"Jul22","B2","2x2","A1","Ambient",FALSE,"B2_2x2_A1"
"C2_3x3_A7",-0.355612817534257,-0.0371469949604499,"Jul22","C2","3x3","A7","Ambient",FALSE,"C2_3x3_A7"
"B2_3x3_A7",-0.406842459155994,-0.0368603570234572,"Jul22","B2","3x3","A7","Ambient",FALSE,"B2_3x3_A7"
"B2_Open_A8",-0.404109942597914,-0.0371508423125731,"Jul22","B2","Open","A8","Ambient",FALSE,"B2_Open_A8"
"B2_1x1_P1",-0.392494391862957,-0.0391637013991988,"Jul22","B2","1x1","P1","Ambient",FALSE,"B2_1x1_P1"
"B1_Open_A3",-0.334407534895089,-0.0391234989622283,"Jul22","B1","Open","A3","Enriched",FALSE,"B1_Open_A3"
"B2_Open_A6",-0.245435860927765,-0.0495685430114918,"Jul22","B2","Open","A6","Ambient",FALSE,"B2_Open_A6"
"B2_1x1_A14",-0.0973023617473461,-0.0857831680317309,"Jul22","B2","1x1","A14","Ambient",FALSE,"B2_1x1_A14"
"B2_1x1_A6",-0.382205099385233,-0.0318429530972895,"Jul22","B2","1x1","A6","Ambient",FALSE,"B2_1x1_A6"
"C4_2x2_A11",-0.385962360540952,-0.0261254825762486,"Jul22","C4","2x2","A11","Enriched",FALSE,"C4_2x2_A11"
"C4_1x1_A10",-0.381113291290416,-0.0366563650476395,"Jul22","C4","1x1","A10","Enriched",FALSE,"C4_1x1_A10"
"C4_1x1_A6",-0.164279747455512,0.110999121017593,"Jul22","C4","1x1","A6","Enriched",FALSE,"C4_1x1_A6"
"D3_Open_A1",0.655878011357493,-0.711371471258548,"Jul22","D3","Open","A1","Enriched",FALSE,"D3_Open_A1"
"D3_1x1_A2",-0.41537367982979,-0.0423516396469595,"Jul22","D3","1x1","A2","Enriched",FALSE,"D3_1x1_A2"
"D3_Open_A12",2.00039208809591,-0.585855325237696,"Jul22","D3","Open","A12","Enriched",FALSE,"D3_Open_A12"
"D3_Open_A14",-0.420515429424906,-0.0394677273736644,"Jul22","D3","Open","A14","Enriched",FALSE,"D3_Open_A14"
"D3_1x1_A1",-0.418788329115912,-0.0391565068726392,"Jul22","D3","1x1","A1","Enriched",FALSE,"D3_1x1_A1"
"D3_2x2_A5",-0.412078959809343,-0.0378087670309175,"Jul22","D3","2x2","A5","Enriched",FALSE,"D3_2x2_A5"
"D3_3x3_A2",-0.422578230644396,-0.0360315985124971,"Jul22","D3","3x3","A2","Enriched",FALSE,"D3_3x3_A2"
"D3_1x1_A5",-0.346181528836721,0.0613132998202949,"Jul22","D3","1x1","A5","Enriched",FALSE,"D3_1x1_A5"
"D3_1x1_A6",-0.275920414888104,-0.0022575615544733,"Jul22","D3","1x1","A6","Enriched",FALSE,"D3_1x1_A6"
"D3_1x1_A11",-0.328686399897508,0.0890938577051706,"Jul22","D3","1x1","A11","Enriched",FALSE,"D3_1x1_A11"
"C4_1x1_A11",-0.341939921200887,0.0146134046758817,"Jul22","C4","1x1","A11","Enriched",FALSE,"C4_1x1_A11"
"C4_1x1_A2",-0.398998420737209,-0.0285543732097612,"Jul22","C4","1x1","A2","Enriched",FALSE,"C4_1x1_A2"
"C4_2x2_A7",-0.256357831067229,-0.0305930381644933,"Jul22","C4","2x2","A7","Enriched",FALSE,"C4_2x2_A7"
"C4_3x3_A5",-0.405435117680286,-0.0316780469882881,"Jul22","C4","3x3","A5","Enriched",FALSE,"C4_3x3_A5"
"C4_2x2_A14",-0.415741903279985,-0.0371880398490779,"Jul22","C4","2x2","A14","Enriched",FALSE,"C4_2x2_A14"
"C4_2x2_A6",0.0789058154282999,-0.166591225938842,"Jul22","C4","2x2","A6","Enriched",FALSE,"C4_2x2_A6"
"C4_Open_A4",-0.341379381772512,-0.0453871624308821,"Jul22","C4","Open","A4","Enriched",FALSE,"C4_Open_A4"
"C4_1x1_A4",-0.404746069562307,-0.0397324334400413,"Jul22","C4","1x1","A4","Enriched",FALSE,"C4_1x1_A4"
"D3_Open_A11",-0.285499167468095,-0.0658523391736023,"Jul22","D3","Open","A11","Enriched",FALSE,"D3_Open_A11"
"C4_3x3_A3",-0.402338465905901,-0.0357195561595631,"Jul22","C4","3x3","A3","Enriched",FALSE,"C4_3x3_A3"
"D3_2x2_A1",-0.40789579601554,-0.0391055160958554,"Jul22","D3","2x2","A1","Enriched",FALSE,"D3_2x2_A1"
"D3_1x1_A9",-0.406831680546047,-0.0372840377512895,"Jul22","D3","1x1","A9","Enriched",FALSE,"D3_1x1_A9"
"D3_1x1_A12",-0.327787786345184,-0.0374668184184827,"Jul22","D3","1x1","A12","Enriched",FALSE,"D3_1x1_A12"
"D3_Open_A4",-0.236989265724187,-0.104475825125752,"Jul22","D3","Open","A4","Enriched",FALSE,"D3_Open_A4"
"C4_Open_A5",-0.421926399237097,-0.0391779808219224,"Jul22","C4","Open","A5","Enriched",FALSE,"C4_Open_A5"
"D3_Open_A10",-0.280105637899345,-0.0985628759066426,"Jul22","D3","Open","A10","Enriched",FALSE,"D3_Open_A10"
"D3_Open_A7",-0.312583069042641,0.00579423072761711,"Jul22","D3","Open","A7","Enriched",FALSE,"D3_Open_A7"
"D3_3x3_A4",-0.380774388080471,-0.0227884075083845,"Jul22","D3","3x3","A4","Enriched",FALSE,"D3_3x3_A4"
"D3_3x3_A5",-0.406381241858102,-0.0340893609409557,"Jul22","D3","3x3","A5","Enriched",FALSE,"D3_3x3_A5"
"C4_Open_A6",-0.347798144216465,-0.0293385140053501,"Jul22","C4","Open","A6","Enriched",FALSE,"C4_Open_A6"
"C4_Open_A1",-0.367663473246142,-0.0507761299166587,"Jul22","C4","Open","A1","Enriched",FALSE,"C4_Open_A1"
"C4_3x3_A7",-0.412421556039274,-0.0345963229397196,"Jul22","C4","3x3","A7","Enriched",FALSE,"C4_3x3_A7"
"D3_Open_A3",0.740351974965455,0.890599848440856,"Jul22","D3","Open","A3","Enriched",FALSE,"D3_Open_A3"
"C4_1x1_A7",-0.296840056675614,0.0232577579950842,"Jul22","C4","1x1","A7","Enriched",FALSE,"C4_1x1_A7"
"D3_1x1_A13",-0.398931312506733,-0.0450888781482153,"Jul22","D3","1x1","A13","Enriched",FALSE,"D3_1x1_A13"
"D3_2x2_A3",-0.351422476543172,-0.0546980469812611,"Jul22","D3","2x2","A3","Enriched",FALSE,"D3_2x2_A3"
"D3_3x3_A1",-0.329742268190271,-0.0191448125118672,"Jul22","D3","3x3","A1","Enriched",FALSE,"D3_3x3_A1"
"C4_1x1_A12",-0.342362722186831,0.127007686590676,"Jul22","C4","1x1","A12","Enriched",FALSE,"C4_1x1_A12"
"D3_Open_A6",-0.325907132586867,0.104294870944689,"Jul22","D3","Open","A6","Enriched",FALSE,"D3_Open_A6"
"C4_1x1_A1",-0.416534859844605,-0.035530049222179,"Jul22","C4","1x1","A1","Enriched",FALSE,"C4_1x1_A1"
"D3_1x1_A3",-0.413127299723098,-0.039836979333609,"Jul22","D3","1x1","A3","Enriched",FALSE,"D3_1x1_A3"
"C4_1x1_A8",-0.411330703287404,-0.0326792133992096,"Jul22","C4","1x1","A8","Enriched",FALSE,"C4_1x1_A8"
"C4_3x3_A2",-0.419323963136077,-0.0397612752182093,"Jul22","C4","3x3","A2","Enriched",FALSE,"C4_3x3_A2"
"C4_Open_A2",-0.190571670221592,0.288679445533887,"Jul22","C4","Open","A2","Enriched",FALSE,"C4_Open_A2"
"C4_1x1_A3",-0.399071823502008,-0.0267340321830365,"Jul22","C4","1x1","A3","Enriched",FALSE,"C4_1x1_A3"
"D3_Open_A13",-0.328412837571253,-0.0640369609853855,"Jul22","D3","Open","A13","Enriched",FALSE,"D3_Open_A13"
"A3_Open_A8",0.263256242233712,-0.1896320585195,"Jul22","A3","Open","A8","Enriched",FALSE,"A3_Open_A8"
"A4_1x1_A10",-0.210972937857149,-0.244154335236616,"Jul22","A4","1x1","A10","Ambient",FALSE,"A4_1x1_A10"
"A3_2x2_A3",-0.404292294065456,-0.0346629688076641,"Jul22","A3","2x2","A3","Enriched",FALSE,"A3_2x2_A3"
"A3_2x2_A8",-0.365774554444543,-0.0376872808209785,"Jul22","A3","2x2","A8","Enriched",FALSE,"A3_2x2_A8"
"A3_Open_A5",2.09968620576351,1.91934398021764,"Jul22","A3","Open","A5","Enriched",FALSE,"A3_Open_A5"
"A3_2x2_A1",-0.0967674439449268,-0.0581387136206378,"Jul22","A3","2x2","A1","Enriched",FALSE,"A3_2x2_A1"
"A3_1x1_A6",-0.39804405580321,-0.0314706425223463,"Jul22","A3","1x1","A6","Enriched",FALSE,"A3_1x1_A6"
"A3_1x1_A4",-0.410913751492407,-0.0368133619081528,"Jul22","A3","1x1","A4","Enriched",FALSE,"A3_1x1_A4"
"A3_2x2_A2",-0.150679249140707,-0.115773723365364,"Jul22","A3","2x2","A2","Enriched",FALSE,"A3_2x2_A2"
"A3_3x3_A6",0.50441508933922,-0.29307436546252,"Jul22","A3","3x3","A6","Enriched",FALSE,"A3_3x3_A6"
"A3_3x3_A4",-0.379939887854218,-0.0144268787832123,"Jul22","A3","3x3","A4","Enriched",FALSE,"A3_3x3_A4"
"A3_1x1_A5",-0.409910818494025,-0.0382972878517771,"Jul22","A3","1x1","A5","Enriched",FALSE,"A3_1x1_A5"
"A4_1x1_A6",0.883737182384385,-0.362667930716115,"Jul22","A4","1x1","A6","Ambient",FALSE,"A4_1x1_A6"
"A3_Open_A1",-0.414378397781365,-0.0443836592582817,"Jul22","A3","Open","A1","Enriched",FALSE,"A3_Open_A1"
"A4_Open_A5",-0.412150609168808,-0.0401269617631473,"Jul22","A4","Open","A5","Ambient",FALSE,"A4_Open_A5"
"A3_Open_A3",-0.415227725655908,-0.037319488738449,"Jul22","A3","Open","A3","Enriched",FALSE,"A3_Open_A3"
